SYMBOL,DATE,SPX YE16,SPX YE17,SPX 16-17,SEDOL,TICKER-REGION,PRICE YE16,PRICE YE17,RETURN 16-17,REL-RETURN,ROE,SECURITY NAME,NAME,TICKER,EXCHANGE,PEER_GROUP,REGION,COUNTRY,COMP_GROUP_AVG,TOTAL_ESG_SCORE,ENVIRONMENT_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,TOTAL_ESG_PTILE,ENVIRONMENT_PTILE,SOCIAL_PTILE,GOVERNANCE_PTILE,ENVIRONMENT_WEIGHT,SOCIAL_WEIGHT,GOVERNANCE_WEIGHT,E_OPERATIONS_INCIDENTS,E_SUPPLYCHAIN_INCIDENTS,E_PRODSERVICE_INCIDENTS,S_EMPLOYEE_INCIDENTS,S_SUPPLYCHAIN_INCIDENTS,S_CUSTOMER_INCIDENTS,S_COMMUNITY_INCIDENTS,G_BUSETHICS_INCIDENTS,G_GOVERNANCE_INCIDENTS,G_PUBLIC_POLICY_INCIDENTS,OLD_SYMBOL,CONTROVERSY_LEVEL
2497097,20161230,2238.83,2673.61,0.19,249709,KRSL-US,,,,,,Kreisler Manufacturing Corporation,Kreisler Manufacturing Corp.,@NA,@NA,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US5007731061,No evidence of relevant controversies
2512149,20161230,2238.83,2673.61,0.19,251214,KTOS-US, 	7.40 , 	10.59 , 	0.43 , 	0.24 , 	(22.77),"Kratos Defense & Security Solutions, Inc.",Kratos Defense & Security Solutions Inc.,KTOS,NasdaqGS,Aerospace & Defense,United States and Canada,United States,60.79000,47.23000,,,,5.000000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US50077B2079,No evidence of relevant controversies
BYZGYC0,20161230,2238.83,2673.61,0.19,BYZGYC,LLL-US, 	152.11 , 	197.85 , 	0.30 , 	0.11 , 	14.53 ,L3 Technologies Inc,L3 Technologies Inc.,LLL,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,48.81000,47.93000,42.75000,56.92000,14.29000,21.43000,16.67000,7.140000,0.350000,0.350000,0.300000,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,Category 2,No evidence of relevant controversies,Category 2,Category 1,Category 2,Category 2,No evidence of relevant controversies,US5024131071,Category 2
2261195,20161230,2238.83,2673.61,0.19,226119,LMIA-US, 	8.62 ,, 	(1.00), 	(1.19), 	(34.50),"LMI Aerospace, Inc.",LMI Aerospace Inc.,LMIA,NasdaqGS,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US5020791068,No evidence of relevant controversies
2522096,20161230,2238.83,2673.61,0.19,252209,LMT-US, 	249.94 , 	321.05 , 	0.28 , 	0.09 , 	162.89 ,Lockheed Martin Corporation,Lockheed Martin Corporation,LMT,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,69.27000,72.00000,60.55000,76.25000,80.95000,83.33000,66.67000,85.71000,0.350000,0.350000,0.300000,Category 2,No evidence of relevant controversies,No evidence of relevant controversies,Category 2,No evidence of relevant controversies,Category 3,Category 3,Category 2,No evidence of relevant controversies,Category 2,US5398301094,Category 3
B8J8BM9,20161230,2238.83,2673.61,0.19,B8J8BM,MICT-US, 	1.33 , 	1.12 , 	(0.16), 	(0.35), 	(50.03),"Micronet Enertec Technologies, Inc.",Micronet Enertec Technologies Inc.,MICT,NasdaqCM,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US5951171025,No evidence of relevant controversies
2561594,20161230,2238.83,2673.61,0.19,256159,MKRS-US, 	0.22 , 	0.48 , 	1.15 , 	0.95 , 	55.78 ,Mikros Systems Corporation,Mikros Systems Corp.,MKRS,OTCPK,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US5986263078,No evidence of relevant controversies
2601218,20161230,2238.83,2673.61,0.19,260121,MOG.A-US, 	65.68 , 	86.85 , 	0.32 , 	0.13 , 	12.78 ,Moog Inc. Class A,Moog Inc.,MOG.A,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,52.32000,,,,20.00000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US6153942023,No evidence of relevant controversies
2779944,20161230,2238.83,2673.61,0.19,277994,NEIK-US, 	0.02 , 	0.01 , 	(0.47), 	(0.66),,"Northstar Electronics, Inc.",Northstar Electronics Inc.,NEIK,OTCPK,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US66704D1019,No evidence of relevant controversies
2648806,20161230,2238.83,2673.61,0.19,264880,NOC-US, 	232.58 , 	306.91 , 	0.32 , 	0.13 , 	40.81 ,Northrop Grumman Corporation,Northrop Grumman Corporation,NOC,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,66.63000,59.60000,61.39000,80.95000,76.19000,47.62000,76.19000,92.86000,0.350000,0.350000,0.300000,Category 2,No evidence of relevant controversies,No evidence of relevant controversies,Category 1,No evidence of relevant controversies,Category 2,Category 2,Category 1,No evidence of relevant controversies,No evidence of relevant controversies,US6668071029,Category 2
